function_type;description;function_mysql;argument_func_mysql;function_postgresql;argument_func_postgresql;returns;detailed_description;examples_mysql;examples_postgresql;replacing
текстовые;объединяет значения;CONCAT();значения или поля через запятую;CONCAT() или ||;значения или поля через запятую;строка;"Принимает переменное количество аргументов, выполняет их конкатенацию и возвращает полученный результат. Результатом функции всегда является строка, однако аргументы функции могут принадлежать любым типам, поскольку функция неявно преобразует все аргументы в строки перед объединением.";"SELECT CONCAT(artist, ' - ', trackname)";Select 'Post' || 'greSQL' > PostgreSQL;
текстовые;объединяет значения через разделитель;CONCAT_WS();"'разделитель', знач1, ..., значn";"CONCAT_WS(); ARRAY_TO_STRING(array['a', 'b', 's'], '--');";"'разделитель', знач1, ..., значn";строка;"Объединяет значения и добавляет между ними разделитель. Разделитель указывается в качестве первого аргумента, объединяемые значения — в качестве всех остальных. Перед объединением неявно преобразует все аргументы в строки";"SELECT CONCAT_WS(', ', id, artist, trackname)";"ARRAY_TO_STRING(array['a', 'b', 's'], '--');";
текстовые;длина строки;CHAR_LENGTH();строка;"CHAR_LENGTH(), LENGTH()";строка;число;принимает в качестве аргумента строку и возвращает количество символов в ней.  При вызове с аргументом NULL возвращают значение NULL.;SELECT CHAR_LENGTH('beegeek');;
текстовые;перевод в нижний регистр;LOWER();строка;LOWER();строка;строка;используется для перевода строки в нижний регистр. При вызове с аргументом NULL возвращают значение NULL.;SELECT LOWER('beegeek');;
текстовые;перевод в верхний регистр;UPPER() ;строка;UPPER() ;строка;строка;используется для перевода строки в верхний регистр. При вызове с аргументом NULL возвращают значение NULL.;SELECT  LOWER('BEEGEEK');;
текстовые;убирает пробелы слева;LTRIM() ;строка;LTRIM() ;строка;строка;убирает пробелы слева. При вызове с аргументом NULL возвращают значение NULL.;SELECT LTRIM(' bee');;
текстовые;убирает пробелы справа;RTRIM();строка;RTRIM();строка;строка;убирает пробелы справа. При вызове с аргументом NULL возвращают значение NULL.;;;
текстовые;переворачивает строку ;REVERSE() ;строка;REVERSE() ;строка;строка;переворачивает строку (можно с числовыми). При вызове с аргументом NULL возвращают значение NULL.;;;
текстовые;повторяет;REPEAT();"строка, сколько раз повторить";REPEAT();"строка, сколько раз повторить";строка;"повторяет строку (можно с числовыми)ю Если количество повторов меньше 1, то функция REPEAT() вернет пустую строку.  При вызове с аргументом NULL возвращают значение NULL.";;;
текстовые;добавить слева;LPAD() ;"исх_строка, желаемая_длина_строки, чем_дополнить";LPAD() ;"исх_строка, желаемая_длина_строки, чем_дополнить";строка;"используется для увеличения длины строки до определенного значения путем добавления в ее начало другой строки (можно с числовыми). Если длина исходной строки после добавления в ее начало дополняющей строки превышает желаемую длину, то функция LPAD() сокращает дополняющую строку путем отбрасывания правых символов. 
При вызове с аргументом NULL возвращают значение NULL.";"SELECT LPAD('bee', 2, '-'),  LPAD(REVERSE(artist), 20, '!')";;CONCAT()
текстовые;добавить справа;RPAD() ;"исх_строка, желаемая_длина_строки, чем_дополнить";RPAD() ;"исх_строка, желаемая_длина_строки, чем_дополнить";строка;"используется для увеличения длины строки до определенного значения путем добавления другой строки справа(можно с числовыми). Если длина исходной строки после добавления справа дополняющей строки превышает желаемую длину, то функция LPAD() сокращает дополняющую строку путем отбрасывания правых символов. При вызове с аргументом NULL возвращают значение NULL.";"SELECT RPAD('bee', 7, '-+')";;CONCAT()
текстовые;извлеч из начала строки;LEFT();"исх_строка, кол-во извлекаемых символов";LEFT();"исх_строка, кол-во извлекаемых символов";строка;"извлечения определенного количества символов из начала строки. Если количество извлекаемых символов меньше 1, функция LEFT() вернет пустую строку.  ";"SELECT LEFT('beegeek', 3)";;SUBSTRING()
текстовые;извлеч из конца строки;RIGHT();"исх_строка, кол-во извлекаемых символов";RIGHT();"исх_строка, кол-во извлекаемых символов";строка;"извлечения определенного количества символов из конца строки. Если количество извлекаемых символов меньше 1, функция вернет пустую строку.  ";;;SUBSTRING()
текстовые;местоположения подстроки в строке;LOCATE();"искомая_подстрокаб, исходная_строка, позиция_начала_поиска ";POSITION('a' in string);"искомая_подстрокаб, исходная_строка, позиция_начала_поиска ";число;"определения местоположения подстроки в строке. Позиция начала поиска (может не указываться, в таком случае поиск выполняется с начала строки) . Если искомой подстроки в строке нет, функция LOCATE() вернет значение 0. выполняет поиск позиции подстроки без учета регистра.  символы исходной строки нумеруются с 1, а не с 0.  ";"SELECT LOCATE('e', 'beegeek'),        LOCATE('g', 'beegeek'),        LOCATE('eg', 'beegeek'),";;"LEFT(), RIGHT() "
текстовые;замена подстроки в строке;REPLACE();"исходная_строка, заменяемая_подстрока, заменяющая_подстрока";REPLACE();"исходная_строка, заменяемая_подстрока, заменяющая_подстрока";строка;"замены подстроки в строке. Если заменяемой подстроки в строке нет, функция REPLACE() вернет строку в исходном виде. выполняет замену с учетом регистра.  ";"SELECT REPLACE('beegeek', 'e', 'i')";;TRIM()
текстовые;извлечения подстроки из строки;SUBSTRING();"исходная_строка, позиция_первого_извлекаемого_символа, длина_извлекаемой_ подстроки";SUBSTR() или SUBSTRING(исходная_строка FROM начало(паттерн) FOR сколько_символов ) или ;"исходная_строка, позиция_первого_извлекаемого_символа, длина_извлекаемой_ подстроки";строка;"извлечения подстроки из строки. длина извлекаемой подстроки (может не указываться, в таком случае подстрока извлекается до конца) . символы исходной строки нумеруются с 1, а не с 0. Позиция первого извлекаемого символа может быть отрицательным числом, в таком случае символы нумеруются с конца. Последнему символу соответствует позиция -1, предпоследнему — -2, и так далее.  ";"SELECT SUBSTRING('beegeek', 1),        SUBSTRING('beegeek', -4),        SUBSTRING('beegeek', 4, 2)";"substring('Thomas' from 2 for 3) > hom ;     substring('Thomas' from 3) > omas;      substring('Thomas' for 2) > Th;     substring('Thomas' from '...$') > mas";
текстовые;извлечения подстроки с помощью разделителя;SUBSTRING_INDEX();"исходная_строка, разделитель, количество_появлений_ разделителя";SPLIT_PART();"исходная_строка, разделитель, количество_появлений_ разделителя";строка;"извлечения подстроки из строки с помощью разделителя. Количество появлений разделителя может быть отрицательным числом, в таком случае извлечение подстроки происходит с конца.";"SELECT SUBSTRING_INDEX('g-e-e-k', '-', 1)     ----    g ,        SUBSTRING_INDEX('g-e-e-k', '-', 2)     -----   g-e ,";;
текстовые;удаления всех вхождений подстроки;TRIM();"TRIM(<ключевое слово LEADING, TRAILING или BOTH> <удаляемая подстрока> FROM <исходная строка>) ";TRIM();"TRIM(<ключевое слово LEADING, TRAILING или BOTH> <удаляемая подстрока> FROM <исходная строка>) ";строка;"удаления всех вхождений подстроки из начала и/или конца строки. Ключевые слова LEADING, TRAILING и BOTH могут не указываться, в таком случае удаление подстроки происходит из начала и конца строки. Удаляемая подстрока также может быть опущена, в таком случае ею считается пробел.  Если не указаны и ключевое слово, и удаляемая подстрока, функция TRIM() выполнит удаление всех пробелов из начала и конца строки.  ";"SELECT TRIM(LEADING '-' FROM '--bee--'),        TRIM(TRAILING '-' FROM '--bee--'),        TRIM(BOTH '-' FROM '--bee--');";;REPLACE()
числовые;модуль;ABS();число;ABS();число;число;вычисления модуля числа;"SELECT ABS(-1),        ABS(-2.1234)";"SELECT ABS(-1),  -- 1       ABS(-2.1234)  -- 2.1234";
числовые;округление;ROUND();"число, количество знаков после запятой";ROUND();"число, количество знаков после запятой";число;"возвращает число, округленное до указанных знаков после запятой.  округляет число согласно математическим правилам округления, то есть в большую по модулю сторону. Количество знаков после запятой может быть не указано, в таком случае функция ROUND() выполнит округление до целого числа.";"SELECT ROUND(23.165, 2)";;
числовые;возведение в степень;POW();"число, степень";POWER();"число, степень";число;"возвращает число, возведенное в указанную степень.";"SELECT POW(2, 3)";;
числовые;корень;SQRT();число;SQRT();число;число;вычисления квадратного корня.;"SELECT SQRT(0),        SQRT(9),        SQRT(20);";;
числовые;генератор случ. Чисел;RAND();начальное значение(необязательно);RANDOM();начальное значение(необязательно);число;"генерация случайных чисел. При вызове без аргументов она возвращает случайное число с плавающей точкой в диапазоне [0, 1). С одним и тем же аргументом функция будет возвращать одно и то же случайное число.  ";"SELECT * FROM SQLTeam ORDER BY RAND() LIMIT 2; -- извлечение случайных записей из таблицы";;
числовые;округление в меньшую сторону;FLOOR();число;FLOOR();число;число;округление в меньшую сторону до целого;;;
числовые;округление в большую сторону;CEILING();число;CEILING();число;число;округление в большую сторону до целого;;;
числовые;из радиан в градусы;DEGREES();значение в радианах;DEGREES();значение в радианах;число;"перевода значения из радиан в градусы. Она принимает в качестве аргумента значение в радианах, конвертирует его в градусы и возвращает полученный результат.";SELECT DEGREES(1)    -----  57.29577951308232;;
числовые;градусы в радианы;RADIANS();значение в градусах;RADIANS();значение в градусах;число;перевод — из градусов в радианы.;SELECT  RADIANS(180)     -----    3.141592653589793;;
числовые;синус;SIN();число в радианах;SIN();число в радианах;число; принимает в качестве аргумента значение в радианах и возвращает соответствующую тригонометрическую величину.;;;
числовые;косинус;COS();число в радианах;COS();число в радианах;число; принимает в качестве аргумента значение в радианах и возвращает соответствующую тригонометрическую величину.;;;
числовые;тангенс;TAN();число в радианах;TAN();число в радианах;число; принимает в качестве аргумента значение в радианах и возвращает соответствующую тригонометрическую величину.;;;
числовые;наименьшее;LEAST();аргументы;LEAST();аргументы;число;"принимает переменное количество аргументов (не меньше двух) и возвращает наименьший из них.   Если поиск минимального значения происходит среди действительных (типы FLOAT и DOUBLE) и целых чисел, функция LEAST() сначала преобразует все числа в действительные.  Если хотя бы один из аргументов, переданных в функцию LEAST(), является строкой, функция перед поиском минимального значения сначала преобразует все аргументы в строки.  Если хотя бы один из аргументов, переданных в функцию LEAST(), равняется NULL, возвращаемым значением функции также будет NULL.  ";"SELECT LEAST(2, 1, 3, 5, 4)    ----   1";;
числовые;наибольшее;GREATEST();аргументы;GREATEST();аргументы;число;выполняет поиск наибольшего значения. ;;;
числовые;перевод в с-му исчисления;CONV();"число, система счисления (в которой представлено число), система счисления (в которую нужно перевести число)";CONV();"число, система счисления (в которой представлено число), система счисления (в которую нужно перевести число)";число;перевода числа из одной системы счисления в другую. ;"SELECT CONV(5, 10, 2)    ----    101";;
числовые;округление и форматирование;FORMAT();"число, кол-во знаков после запятой";;"число, кол-во знаков после запятой";число;"округляет число num до decimals знаков после запятой, форматирует его путем разбиения на разряды и возвращает полученный результат в виде строки.  Если указанное количество знаков после запятой больше фактического количества знаков у числа, функция FORMAT() заполнит недостающие знаки незначащими нулями.";"SELECT FORMAT(1000000.1653, 3)     -----  1,000,000.165 ";;
дата и время;текущая дата и время;NOW();;NOW();;дата и время;не принимает никаких аргументов и возвращает текущую дату и время в локальном часовом поясе;"SELECT NOW(); ";;
дата и время;текущая дата  ;CURDATE();;CURRENT_DATE;;дата ;текущая дата  ;;;
дата и время;текущее время;CURTIME();;CURRENT_TIME;;время;текущее время;;;
дата и время;текущая дата и время по UTS;UTC_TIMESTAMP();;;;дата и время;"не принимает никаких аргументов и возвращает текущую дату и время в UTC, то есть в нулевом часовом поясе.";;;
дата и время;текущая дата по UTS    ;UTC_DATE();;;;дата ;текущая дата по UTS    ;;;
дата и время;текущее время по UTS    ;UTC_TIME();;;;время;текущее время по UTS    ;;;
дата и время;создание даты;MAKEDATE();"год, номер дня в году";MAKEDATE();"год, номер месяца, число";дата ;"возвращает дату, которая имеет порядковый номер day в году year.  Если хотя бы один из аргументов, переданных в функции MAKEDATE() и MAKETIME(), являeтся значением NULL, функции вернут значение NULL.";"SELECT MAKEDATE(2023, 1),        MAKEDATE(2023, 255),        MAKEDATE(2023, 365);";;
дата и время;создание временного значения;MAKETIME();"часы, минуты, секунды";MAKETIME();"часы, минуты, секунды";время;"возвращает временное значение, состоящее из часов, минут и секунд.  Если хотя бы один из аргументов, переданных в функции MAKEDATE() и MAKETIME(), являeтся значением NULL, функции вернут значение NULL.";"SELECT MAKETIME(12, 33, 1),        MAKETIME(0, 1, 2),        MAKETIME(21, 11, 42);   ";;
дата и время;время в секунды;TIME_TO_SEC();временное значение; ;временное значение;число;"принимает в качестве аргумента временное значение, преобразует его в количество секунд. при вызове с аргументом NULL возвращают значение NULL.  ";"SELECT TIME_TO_SEC('00:00:25'),        TIME_TO_SEC('00:01:30'),        TIME_TO_SEC('01:00:00');";;
дата и время;Кол-во секунд во время;SEC_TO_TIME();Кол-во секунд; ;Кол-во секунд;время;преобразование количества секунд во временное значение. при вызове с аргументом NULL возвращают значение NULL.  ;"SELECT SEC_TO_TIME(25),        SEC_TO_TIME(90),        SEC_TO_TIME(3600);";;
дата и время;дата в кол-во дней;TO_DAYS();дата;;дата;число;"принимает в качестве аргумента дату, преобразует ее в количество дней. отсчет количества дней начинается с нулевого года. при вызове с аргументом NULL возвращают значение NULL.  ";"SELECT TO_DAYS('2023-04-01'),        TO_DAYS('0001-01-01'),        TO_DAYS('0000-01-01');";;
дата и время;дата в кол-во секунд;TO_SECONDS();дата;;дата;число;преобразует дату в количество секунд.  при вызове с аргументом NULL возвращают значение NULL.  ;;;
дата и время;последний день месяца;LAST_DAY();дата;"(date_trunc('month', now()) + interval '1 month - 1 day')::date";дата;дата ;"принимает в качестве аргумента дату, заменяет в ней день на последний день месяца этой даты.  при вызове с аргументом NULL возвращают значение NULL.  ";;;
дата и время;дата  ;DATE();дата и время;DATE();"что извлечь, дата и время";дата ;"принимает в качестве аргумента дату и время, извлекает из него дату и возвращает полученный результат. Если аргументом функции DATE() является дата без времени, функция вернет ее в исходном виде.  ";SELECT DATE('2023-10-20 12:30:00')    ---- 2023-10-20 ;;
дата и время;время;TIME();дата и время;CAST();‘строка’\дата-время AS TIME;время;"принимает в качестве аргумента дату и время, извлекает из него время и возвращает полученный результат. Если аргументом функции является время без даты, функция вернет ее в исходном виде.  ";;select cast('2024-10-09 10:11:12' as time);
дата и время;Кол-во часов;HOUR();время;DATE_PART();"'hour', строка или дата\время ";число;"определения количества часов во времени. Она принимает в качестве аргумента временное значение, извлекает из него часы и возвращает полученный результат.";SELECT HOUR('12:30:10')    ---  12;"date_part('hour', TIMESTAMP '2024-10-09 10:11:12')   -----   10;     date_part('hour', NOW())";
дата и время;Кол-во минут;MINUTE();время;DATE_PART();"'minute’, строка или дата\время ";число;"принимает в качестве аргумента временное значение, извлекает из него минуты и возвращает полученный результат.";SELECT MINUTE('12:30:10.1415')   ---   30;"date_part('hour', TIMESTAMP '2024-10-09 10:11:12')   -----   10;     date_part('hour', NOW())";
дата и время;Кол-во секунд;SECOND();время;DATE_PART();"'second', строка или дата\время ";число;"принимает в качестве аргумента временное значение, извлекает из него секунды и возвращает полученный результат.";SELECT SECOND('12:30:10.1415')    ----  10;"date_part('hour', TIMESTAMP '2024-10-09 10:11:12')   -----   10;     date_part('hour', NOW())";
дата и время;Кол-во микросекунд;MICROSECOND();время;DATE_PART();"'microsecond', строка или дата\время ";число;"принимает в качестве аргумента временное значение, извлекает из него микросекунды и возвращает полученный результат.";SELECT MICROSECOND('12:30:10.1415')    ----  141500;"date_part('hour', TIMESTAMP '2024-10-09 10:11:12')   -----   10;     date_part('hour', NOW())";
дата и время;год;YEAR();дата;DATE_PART();"'year', строка или дата\время ";число;извлечения значения года из даты. ;SELECT YEAR('2023-10-26 12:30:10.1415')    ----  2023;"date_part('hour', TIMESTAMP '2024-10-09 10:11:12')   -----   10;     date_part('hour', NOW())";
дата и время;номер месяца;MONTH();дата;DATE_PART();"'month', строка или дата\время ";число;извлечения значения месяца из даты. ;SELECT MICROSECOND('12:30:10.1415')    ----  141500;"date_part('hour', TIMESTAMP '2024-10-09 10:11:12')   -----   10;     date_part('hour', NOW())";
дата и время;день;DAY();дата;DATE_PART();"'day', строка или дата\время ";число;извлечения значения дня из даты. ;SELECT DAY('12:30:10.1415')    ----  141500;"date_part('hour', TIMESTAMP '2024-10-09 10:11:12')   -----   10;     date_part('hour', NOW())";
дата и время;номер дня в году;DAYOFYEAR();дата;DATE_PART();"'doy', строка или дата\время ";число;вычисления номера дня в году (от 1 до 366) на основе даты.;SELECT DAYOFYEAR('2023-02-01')    ---32;"date_part('hour', TIMESTAMP '2024-10-09 10:11:12')   -----   10;     date_part('hour', NOW())";
дата и время;номер недели в году;WEEK();дата;DATE_PART();"'week', строка или дата\время ";число;вычисления номера недели в году на основе даты.;SELECT WEEK('2023-12-31')   ---  53;"date_part('hour', TIMESTAMP '2024-10-09 10:11:12')   -----   10;     date_part('hour', NOW())";
дата и время;номер дня недели;WEEKDAY();дата;DATE_PART();"'dow', строка или дата\время ";число;вычисления номера дня недели (от 0 до 6) на основе даты.;SELECT WEEKDAY('2023-10-16')   ---  0  (понедельник);"date_part('hour', TIMESTAMP '2024-10-09 10:11:12')   -----   10;     date_part('hour', NOW())";
дата и время;квартал;QUARTER();дата;DATE_PART();"'day', строка или дата\время ";число;вычисления номера квартала (от 1 до 4) на основе даты. ;;"date_part('hour', TIMESTAMP '2024-10-09 10:11:12')   -----   10;     date_part('hour', NOW())";
дата и время;день недели (англ);DAYNAME();дата;TO_CHAR();"дата/строка,  'day'/'dy'";строка;"принимает в качестве аргумента дату, определяет день недели, который соответствует переданной дате, и возвращает его полное название.";SELECT DAYNAME('2023-10-16')    ---- Monday;"to_char(TIMESTAMP '2024-10-09 10:11:12', 'dy')   ---  wed;   to_char(TIMESTAMP '2024-10-09 10:11:12', 'day')   ---  wednsday";
дата и время;название месяца (англ);MONTHNAME();дата;TO_CHAR();"дата/строка,  'month'/'mon’";строка;определения названия месяца на основе даты.;SELECT MONTHNAME('2023-01-01')    ----   January;"to_char(TIMESTAMP '2024-10-09 10:11:12', 'month')    ---  october;     to_char(TIMESTAMP '2024-10-09 10:11:12', 'MONTH')   ---   OCTOBER;  to_char(TIMESTAMP '2024-10-09 10:11:12', 'mon')     ----   oct";
дата и время;прибавления временного интервала;ADDDATE();"дата и время, временной интервал";timestamp  + INTERVAL  'кол-во  чего';дата и время + временной интервал;дата (+-время);прибавления временного интервала к дате и времени. ;"SELECT ADDDATE('2023-10-20 07:30:00', INTERVAL 4 DAY)";"timestamp '2023-10-26 07:30:00' + interval '4 day'   ---   2023-10-30 07:30:00.000;   NOW()  + interval '4 year'";
дата и время;вычитает временной интервал;SUBDATE();"дата и время, временной интервал";timestamp  + INTERVAL  'кол-во  чего';дата и время - временной интервал;дата (+-время);"вычитает временной интервал из даты и времени,";"SELECT SUBDATE('2023-10-20 07:30:00', INTERVAL 4 HOUR)";"timestamp '2023-10-26 07:30:00' - interval '4 hour'   ---   2023-10-26 03:30:00.000;   NOW()  - interval '4 year'";
дата и время;прибавляет время;ADDTIME();"дата и время (время), время";просто прибавить;дата и время (время) + время;время (± дата);прибавления временного значения к дате и времени.;"SELECT ADDTIME('2023-10-20 21:00:00', '02:00:00'),  ADDTIME('21:30:00', '08:30:00')";select timestamp '2017-10-10 12:11:10' + time '12:12'   ---   2017-10-11 00:23:10.000;
дата и время;отнимает время;SUBTIME();"дата и время (время), время";просто отнять;дата и время (время) -  время;время (± дата);"вычитает временное значение из даты и времени. Если первое временное значение, переданное в функцию SUBTIME(), меньше второго, функция вернет отрицательный результат.  ";"SELECT  SUBTIME('2023-10-20 21:00:00', '06:00:00'),        SUBTIME('20:40:00', '10:00:00'); ";timestamp '2023-10-26 07:30:00' - time '2:15';select timestamp '2017-10-10 12:11:10' - time '12:12'   ---   2017-10-09 23:59:10.000
дата и время;разница в днях;DATEDIFF();"1 дата и время (дата), 2 дата и время(дата)";"DATE_PART('day', timestamp '1' - timestamp '2'); ";"1 дата и время (дата), 2 дата и время(дата)";число;"вычисления разницы в днях между двумя значениями даты и времени. Если первая дата и время, переданная в функцию DATEDIFF(), меньше второй, функция вернет отрицательный результат.  При вычислении разницы функция DATEDIFF() использует только дату, время не используется";"SELECT DATEDIFF('2023-10-26 07:30:00', '2023-10-20 8:00:00')    ---   6";"select date_part('day', timestamp '2015-01-14 00:51:14' - timestamp '2015-01-11 00:51:14'); ";
дата и время;разница во времени;TIMEDIFF();"1 дата и время (время), 2 дата и время(время)";;"1 дата и время (время), 2 дата и время(время)";время;"вычисления разницы во времени между двумя значениями даты и времени.  Если первая дата и время, переданная в функцию TIMEDIFF(), меньше второй, функция вернет результат в виде отрицательного временного значения. ";"SELECT  TIMEDIFF('2023-10-25 9:00:00', '2023-10-20 07:00:00')    ----   122:00:00";;
дата и время;разница в единицах измерения;TIMESTAMPDIFF();"единица измерения (в которой требуется получить разницу),  1 дата и время (дата), 2 дата и время(дата)";EXTRACT (EPOCH from c.time_stamp — c2.time_stamp)::int;epoch from 1 дата и время (дата) — 2 дата и время(дата);число;"вычисления разницы между двумя значениями даты и времени в определенных единицах измерения. Если первое дата и время, переданное в функцию TIMESTAMPDIFF(), больше второго, функция вернет отрицательный результат.  Каждый из аргументов, передаваемых в функцию TIMESTAMPDIFF(), может быть как датой и временем, так и просто датой, при этом дата имеет нулевые значения по всем компонентам времени.";"SELECT TIMESTAMPDIFF(HOUR, '2023-10-20 07:00:00', '2023-10-20 12:00:00') AS hours     ----  5";EXTRACT (EPOCH from c.time_stamp — c2.time_stamp)::int    в секундах (/60 - в минутах);
