№;Тип Данных;опраторы/ключевые слова;Краткое описание;Аналог;Описание;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;извлечение данных;SELECT;извлечение данных;;"Чтобы при помощи оператора SELECT извлечь данные из базы, нужно указать как минимум две вещи: что именно нужно извлечь и откуда";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;"3,2";FROM ;откуда/ из какой таблицы;;"ключевое слово FROM указывает на таблицу, из которой извлекаются данные.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;"3,2";*;групповой символ;;"Помимо извлечения конкретных полей, с помощью оператора SELECT можно запросить все поля, не указывая каждое из них. Для этого вместо имен полей следует указать специальный групповой символ *.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;"3,2";DISTINCT;уникальные записи;;"Чтобы извлечь только уникальные записи, необходимо воспользоваться ключевым словом DISTINCT, которое указывается непосредственно перед именами полей.применяется ко всем полям, а не только к тому, перед которым оно стоит, поэтому при его использовании для двух и более полей одинаковыми будут считаться лишь те записи, которые имеют одинаковые значения по всем полям.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;"3,2";LIMIT;ограничение кол-ва запросов;;"LIMIT 3 говорит о том, что должно быть извлечено не более трех записей. Если необходимо получить следующие три записи, можно задать начальную точку извлечения с помощью ключевого слова OFFSET.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;"3,2";OFFSET;начальная тчк. запроса;;"Записи при использовании ключевого слова OFFSET индексируются с нуля, поэтому, например, выражение LIMIT 1 OFFSET 1 вернет вторую запись, а не первую.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;"3,2";AS;псевдоним;;"При извлечении различных полей таблицы они сохраняют свои исходные имена в результирующей таблице, однако при необходимости можно воспользоваться псевдонимами, чтобы дать им альтернативные имена, если псевдоним состоит из нескольких слов, он должен быть представлен строкой, заключенной в апострофы.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;сортировка данных;ORDER BY;сортировка по возрастанию;ASC использовать не обязательно;"Чтобы извлечь информацию из базы данных в отсортированном виде, достаточно дополнить запрос оператором ORDER BY и указать название поля, по которому необходимо осуществить сортировку. В запросе оператор ORDER BY должен следовать после операторов SELECT и FROM, в противном случае запрос завершится с ошибкой. Чтобы выполнить сортировку по нескольким полям, нужно перечислить их через запятую. Вместо имен полей оператор ORDER BY позволяет указывать порядковые номера полей. пример order by 1,2,4";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;"3,3";DESC;сортировка по убыванию;;"Чтобы сортировка выполнялась в порядке убывания, необходимо после имени поля указать ключевое слово DESC. Если необходимо отсортировать записи в порядке убывания значений нескольких полей, нужно обязательно указать ключевое слово DESC после каждого из них.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;фильтрация данных;WHERE;фильтрация;;" оператор WHERE, позволяет указывать определенные условия при извлечении записей. Если запись удовлетворяет этим условиям, то она попадает в результирующую таблицу, в противном случае отбрасывается.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
